name,type_of_food,address,city,outcode,postcode,URL,rating
Big Fat Gourmet,Burgers,585 Wandsworth Road,London,SW8,3JD,http://www.just-eat.co.uk/restaurants-bigfatgourmet-sw8/menu,5
Big Fat Gourmet,Burgers,585 Wandsworth Road,London,SW8,3JD,http://www.just-eat.co.uk/restaurants-bigfatgourmet-sw8/menu,5
Biggie's Burgers,Burgers,42 Royal Park Road,Leeds,LS6,1HX,http://www.just-eat.co.uk/restaurants-biggiesburgers-ls6/menu,4
Biggie's Burgers,Burgers,42 Royal Park Road,Leeds,LS6,1HX,http://www.just-eat.co.uk/restaurants-biggiesburgers-ls6/menu,4
Bit Bourbon Steamed Burgers,Burgers,Unit 702 Stables Market - Camden Town,London,NW1,8AF,http://www.just-eat.co.uk/restaurants-bit-bourbon-steamed-burgers-regents-park/menu,0
Absolute Caribbean,Caribbean,63 High Road,London,E18,2QP,http://www.just-eat.co.uk/restaurants-absolutecaribbean-e18/menu,5
Absolute Caribbean,Caribbean,63 High Road,London,E18,2QP,http://www.just-eat.co.uk/restaurants-absolutecaribbean-e18/menu,5
Ackee Tree,Caribbean,513 Old York Road,London,SW18,1TF,http://www.just-eat.co.uk/restaurants-ackeetree-sw18/menu,4
Active Cafe Lounge,Caribbean,225 Lewisham Way,London,SE4,1UY,http://www.just-eat.co.uk/restaurants-avtivecafelounge-se4/menu,2
All Nations Dalston,Caribbean,8 Sandringham Road,London,E8,2LP,http://www.just-eat.co.uk/restaurants-allnationsdalston-e8/menu,5
All Nations Dalston,Caribbean,8 Sandringham Road,London,E8,2LP,http://www.just-eat.co.uk/restaurants-allnationsdalston-e8/menu,5
All Spice,Caribbean,479A High Road Leytonstone,Leytonstone,E11,4JU,http://www.just-eat.co.uk/restaurants-allspice-e11/menu,4
Anicia Catering,Caribbean,87 Tenby Court,London,E17,7AU,http://www.just-eat.co.uk/restaurants-aniciacatering-e17/menu,4
Anicia Catering,Caribbean,87 Tenby Court,London,E17,7AU,http://www.just-eat.co.uk/restaurants-aniciacatering-e17/menu,4
Anicia Catering,Caribbean,87 Tenby Court,London,E17,7AU,http://www.just-eat.co.uk/restaurants-aniciacatering-e17/menu,4
Appetizing Delights,Caribbean,109 Witton Lodge Road,WestMidlands,B23,5JD,http://www.just-eat.co.uk/restaurants-appetizing-delights-birmingham/menu,5
Appetizing Delights,Caribbean,109 Witton Lodge Road,WestMidlands,B23,5JD,http://www.just-eat.co.uk/restaurants-appetizing-delights-birmingham/menu,5
Arawak Grill,Caribbean,97 Old Bromley Road,Bromley,BR1,4JZ,http://www.just-eat.co.uk/restaurants-ararawak-br1/menu,5
Arawak Grill,Caribbean,97 Old Bromley Road,Bromley,BR1,4JZ,http://www.just-eat.co.uk/restaurants-ararawak-br1/menu,5
Atlantic Bakeries,Caribbean,67 Atlantic Road,London,SW9,8PU,http://www.just-eat.co.uk/restaurants-atlanticbakeries-sw9/menu,0
Atlantic Bakeries,Caribbean,67 Atlantic Road,London,SW9,8PU,http://www.just-eat.co.uk/restaurants-atlanticbakeries-sw9/menu,0
Aunt Sallys,Caribbean,34 Bridge Street,Walsall,WS1,1HR,http://www.just-eat.co.uk/restaurants-auntsallys-ws1/menu,4
Aunt Sally's,Caribbean,193 Corporation Street,Birmingham,B4,6SE,http://www.just-eat.co.uk/restaurants-auntsallys-b4/menu,4
Aunt Sally's,Caribbean,193 Corporation Street,Birmingham,B4,6SE,http://www.just-eat.co.uk/restaurants-auntsallys-b4/menu,4
Ay Ya So Nice Authentic Caribbean Cuisine,Caribbean,292 Fox Hollies Road,Birmingham,B27,7PT,http://www.just-eat.co.uk/restaurants-ayyasonice-b27/menu,5
Baileys Caribbean,Caribbean,103-105 Newtown Row,Birmingham,B6,4HG,http://www.just-eat.co.uk/restaurants-baileyscaribbean-b6/menu,5
Baileys Caribbean,Caribbean,103-105 Newtown Row,Birmingham,B6,4HG,http://www.just-eat.co.uk/restaurants-baileyscaribbean-b6/menu,5
Baxfood Caribbean,Caribbean,34 Hilltop Road,Whyteleafe,CR3,0DD,http://www.just-eat.co.uk/restaurants-baxfoodcaribbean-cr3/menu,5
Baxfood Caribbean,Caribbean,34 Hilltop Road,Whyteleafe,CR3,0DD,http://www.just-eat.co.uk/restaurants-baxfoodcaribbean-cr3/menu,5
Baxfood Caribbean,Caribbean,34 Hilltop Road,Whyteleafe,CR3,0DD,http://www.just-eat.co.uk/restaurants-baxfoodcaribbean-cr3/menu,5
Beech Plaice Caribbean,Caribbean,34 Beech Avenue,Nottingham,NG7,7LL,http://www.just-eat.co.uk/restaurants-beech-plaice-caribbean-nottingham/menu,5
Bennett's Caribbean Restaurant & Takeaway,Caribbean,11 Orphanage Road,Erdington,B24,9HS,http://www.just-eat.co.uk/restaurants-bennettscaribbean-b24/menu,4
Bennett's Caribbean Restaurant & Takeaway,Caribbean,11 Orphanage Road,Erdington,B24,9HS,http://www.just-eat.co.uk/restaurants-bennettscaribbean-b24/menu,4
Best Taste Caribbean Takeaway,Caribbean,335 Caledonian Road,London,N1,1DW,http://www.just-eat.co.uk/restaurants-realtaste-n1/menu,4
Best Taste Caribbean Takeaway,Caribbean,335 Caledonian Road,London,N1,1DW,http://www.just-eat.co.uk/restaurants-realtaste-n1/menu,4
